QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	726	21	10	11	0
QUAL	0	727	21	13	8	3
QUAL	0	728	16	12	4	2
QUAL	0	729	21	11	10	2
QUAL	0	730	25	14	9	2
QUAL	0	731	28	16	12	1
QUAL	0	732	13	4	9	2
QUAL	0	733	19	8	11	2
QUAL	0	734	16	5	11	2
QUAL	0	735	23	10	13	2
QUAL	0	736	25	14	11	2
QUAL	0	737	26	17	9	3
QUAL	0	738	21	8	12	1
QUAL	0	739	20	11	9	3
QUAL	0	740	18	11	6	0
QUAL	0	741	21	16	5	5
QUAL	0	742	21	9	12	4
QUAL	0	743	31	14	14	0
QUAL	0	744	23	11	11	2
QUAL	0	745	12	7	5	2
QUAL	0	746	20	9	10	0
QUAL	0	747	20	11	8	2
QUAL	0	748	25	11	13	1
QUAL	0	749	15	11	4	1
QUAL	0	750	13	5	6	3
QUAL	0	751	22	15	7	0
QUAL	0	752	18	12	6	2
QUAL	0	753	29	12	16	0
QUAL	0	754	15	6	7	1
QUAL	0	755	26	12	14	1
QUAL	0	756	19	6	13	1
QUAL	0	757	29	14	15	3
QUAL	0	758	26	10	15	2
QUAL	0	759	11	5	6	0
QUAL	0	760	20	10	10	2
QUAL	0	761	22	11	10	0
QUAL	0	762	14	4	8	2
QUAL	0	763	22	10	11	0
QUAL	0	764	23	9	14	0
QUAL	0	765	23	12	10	2
QUAL	0	766	19	6	13	2
QUAL	0	767	19	10	8	0
QUAL	0	768	19	10	9	2
QUAL	0	769	17	7	10	2
QUAL	0	770	20	8	12	2
QUAL	0	771	25	15	9	2
QUAL	0	772	11	7	3	0
QUAL	0	773	24	14	9	3
QUAL	0	774	18	8	10	0
QUAL	0	775	16	8	8	0
QUAL	0	776	18	8	10	1
QUAL	0	777	23	15	8	1
QUAL	0	778	22	7	15	1
QUAL	0	779	15	7	8	0
QUAL	0	780	20	11	8	0
QUAL	0	781	20	13	5	1
QUAL	0	782	16	10	6	2
QUAL	0	783	27	11	15	1
QUAL	0	784	15	9	6	0
QUAL	0	785	23	12	11	3
QUAL	0	786	21	8	12	2
QUAL	0	787	13	10	2	0
QUAL	0	788	17	12	5	1
QUAL	0	789	25	17	8	4
QUAL	0	790	20	14	6	3
QUAL	0	791	17	5	12	1
QUAL	0	792	19	6	13	0
QUAL	0	793	23	14	8	2
QUAL	0	794	21	10	11	4
QUAL	0	795	14	4	10	1
QUAL	0	796	24	14	10	1
QUAL	0	797	14	8	6	2
QUAL	0	798	19	13	6	2
