QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	637	30	12	9	2
QUAL	0	638	19	9	4	3
QUAL	0	639	16	7	3	0
QUAL	0	640	30	12	11	3
QUAL	0	641	17	7	3	0
QUAL	0	642	22	9	5	2
QUAL	0	643	35	16	12	1
QUAL	0	644	28	10	10	2
QUAL	0	645	21	11	6	0
QUAL	0	646	22	11	9	0
QUAL	0	647	22	10	8	0
QUAL	0	648	28	14	9	3
QUAL	0	649	22	10	8	2
QUAL	0	650	17	6	10	0
QUAL	0	651	16	3	5	0
QUAL	0	652	22	7	8	4
QUAL	0	653	22	6	7	2
QUAL	0	654	21	8	6	0
QUAL	0	655	29	11	8	2
QUAL	0	656	24	12	9	0
QUAL	0	657	18	10	2	0
QUAL	0	658	15	3	6	1
QUAL	0	659	24	7	7	1
QUAL	0	660	21	10	7	0
QUAL	0	661	21	8	9	2
QUAL	0	662	23	8	13	2
QUAL	0	663	31	12	14	2
QUAL	0	664	29	5	8	3
QUAL	0	665	25	9	10	0
QUAL	0	666	9	1	3	0
QUAL	0	667	25	10	7	1
QUAL	0	668	28	11	8	3
QUAL	0	669	16	9	4	1
QUAL	0	670	21	9	8	0
QUAL	0	671	21	8	8	1
QUAL	0	672	20	10	5	1
QUAL	0	673	20	10	4	0
QUAL	0	674	17	9	3	2
QUAL	0	675	20	9	4	2
QUAL	0	676	18	6	6	0
QUAL	0	677	19	9	9	1
QUAL	0	678	22	12	4	0
QUAL	0	679	21	6	9	1
QUAL	0	680	32	15	10	4
QUAL	0	681	25	10	8	1
QUAL	0	682	18	5	7	0
QUAL	0	683	14	3	6	2
QUAL	0	684	25	4	11	0
QUAL	0	685	17	5	9	1
QUAL	0	686	17	7	5	1
QUAL	0	687	27	6	11	4
QUAL	0	688	23	11	7	2
QUAL	0	689	15	8	3	3
QUAL	0	690	17	4	9	2
QUAL	0	691	23	5	12	0
QUAL	0	692	25	8	7	1
QUAL	0	693	16	4	8	1
QUAL	0	694	24	9	12	0
QUAL	0	695	14	5	6	0
QUAL	0	696	17	9	5	0
QUAL	0	697	18	9	6	2
QUAL	0	698	28	17	6	1
QUAL	0	699	21	9	9	2
QUAL	0	700	19	8	6	0
QUAL	0	701	12	4	5	0
QUAL	0	702	18	9	2	1
QUAL	0	703	16	6	5	1
QUAL	0	704	21	12	6	0
QUAL	0	705	18	6	4	1
QUAL	0	706	19	6	6	2
QUAL	0	707	18	5	7	0
QUAL	0	708	22	6	9	6
QUAL	0	709	15	7	3	1
QUAL	0	710	22	11	4	1
QUAL	0	711	19	7	6	1
QUAL	0	712	15	4	6	1
QUAL	0	713	17	7	5	1
QUAL	0	714	24	10	7	1
QUAL	0	715	21	7	4	3
QUAL	0	716	23	7	6	2
QUAL	0	717	22	9	5	3
QUAL	0	718	24	12	7	3
QUAL	0	719	17	7	5	3
QUAL	0	720	21	8	7	1
QUAL	0	721	15	3	7	0
QUAL	0	722	14	6	5	1
QUAL	0	723	26	7	9	1
QUAL	0	724	22	4	8	2
QUAL	0	725	21	8	8	1
QUAL	0	726	15	6	6	1
QUAL	0	727	14	6	4	1
QUAL	0	728	18	9	4	0
QUAL	0	729	18	5	6	1
QUAL	0	730	21	7	8	2
QUAL	0	731	9	6	2	1
QUAL	0	732	12	3	6	1
QUAL	0	733	16	7	3	1
QUAL	0	734	17	6	5	1
