DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	521	46	0.007645	37	0.043046
DP	0	522	39	0.006482	25	0.029085
DP	0	523	39	0.006482	34	0.039556
DP	0	524	41	0.006814	44	0.051190
DP	0	525	34	0.005651	38	0.044210
DP	0	526	29	0.004820	26	0.030249
DP	0	527	37	0.006149	34	0.039556
DP	0	528	47	0.007811	29	0.033739
DP	0	529	32	0.005318	40	0.046537
DP	0	530	33	0.005485	38	0.044210
DP	0	531	35	0.005817	29	0.033739
DP	0	532	36	0.005983	28	0.032576
DP	0	533	34	0.005651	37	0.043046
DP	0	534	32	0.005318	38	0.044210
DP	0	535	41	0.006814	40	0.046537
DP	0	536	29	0.004820	29	0.033739
DP	0	537	47	0.007811	40	0.046537
DP	0	538	31	0.005152	34	0.039556
DP	0	539	40	0.006648	34	0.039556
DP	0	540	43	0.007147	35	0.040719
DP	0	541	38	0.006316	23	0.026758
DP	0	542	47	0.007811	34	0.039556
DP	0	543	37	0.006149	40	0.046537
DP	0	544	40	0.006648	25	0.029085
DP	0	545	37	0.006149	37	0.043046
DP	0	546	36	0.005983	23	0.026758
DP	0	547	39	0.006482	35	0.040719
DP	0	548	35	0.005817	32	0.037229
DP	0	549	34	0.005651	31	0.036066
DP	0	550	31	0.005152	25	0.029085
DP	0	551	38	0.006316	28	0.032576
DP	0	552	55	0.009141	23	0.026758
DP	0	553	44	0.007313	27	0.031412
DP	0	554	32	0.005318	33	0.038393
DP	0	555	42	0.006980	30	0.034902
DP	0	556	41	0.006814	20	0.023268
DP	0	557	33	0.005485	30	0.034902
DP	0	558	40	0.006648	31	0.036066
DP	0	559	27	0.004487	28	0.032576
DP	0	560	28	0.004654	22	0.025595
DP	0	561	43	0.007147	24	0.027922
DP	0	562	25	0.004155	26	0.030249
DP	0	563	40	0.006648	24	0.027922
DP	0	564	35	0.005817	25	0.029085
DP	0	565	30	0.004986	25	0.029085
DP	0	566	38	0.006316	31	0.036066
DP	0	567	41	0.006814	31	0.036066
DP	0	568	36	0.005983	26	0.030249
DP	0	569	38	0.006316	23	0.026758
DP	0	570	26	0.004321	38	0.044210
DP	0	571	36	0.005983	27	0.031412
DP	0	572	30	0.004986	25	0.029085
DP	0	573	34	0.005651	20	0.023268
DP	0	574	38	0.006316	25	0.029085
DP	0	575	35	0.005817	23	0.026758
DP	0	576	27	0.004487	22	0.025595
DP	0	577	41	0.006814	36	0.041883
DP	0	578	24	0.003989	23	0.026758
DP	0	579	28	0.004654	35	0.040719
DP	0	580	38	0.006316	32	0.037229
DP	0	581	28	0.004654	24	0.027922
DP	0	582	41	0.006814	26	0.030249
DP	0	583	24	0.003989	29	0.033739
DP	0	584	34	0.005651	15	0.017451
DP	0	585	38	0.006316	47	0.054680
DP	0	586	29	0.004820	32	0.037229
DP	0	587	26	0.004321	23	0.026758
DP	0	588	39	0.006482	21	0.024432
DP	0	589	25	0.004155	28	0.032576
DP	0	590	21	0.003490	18	0.020941
DP	0	591	36	0.005983	26	0.030249
DP	0	592	29	0.004820	18	0.020941
